 par_1      , par_2      , par_3      , par_4      , f_value    
 +5.7588e-03, +1.1867e-02, +4.0564e-03, +3.7912e-03, +7.5060e-01
 +5.8724e-03, +1.1714e-02, +3.9864e-03, +2.7104e-03, +7.5080e-01
 +5.7966e-03, +1.0910e-02, +3.6227e-03, +2.8351e-03, +7.5193e-01
 +5.4367e-03, +9.5697e-03, +3.8186e-03, +3.7497e-03, +7.6180e-01
 +5.4651e-03, +9.3783e-03, +3.6788e-03, +4.2032e-03, +7.6732e-01
 +5.7777e-03, +1.0335e-02, +4.3921e-03, +3.2924e-03, +7.6964e-01
 +5.8156e-03, +9.6845e-03, +3.7067e-03, +4.6227e-03, +7.7079e-01
 +4.8873e-03, +1.1369e-02, +3.6507e-03, +5.6204e-03, +7.8487e-01
 +5.1714e-03, +9.8377e-03, +3.8326e-03, +5.7451e-03, +7.8556e-01
 +5.1303e-03, +1.1796e-02, +3.8236e-03, +3.9762e-03, +7.9763e-01
 +5.1146e-03, +1.1560e-02, +4.1263e-03, +2.8767e-03, +7.9980e-01
 +5.0767e-03, +1.1828e-02, +4.0424e-03, +4.9968e-03, +8.5938e-01
 +5.1335e-03, +9.4931e-03, +3.9165e-03, +2.7520e-03, +8.7960e-01
 +4.9062e-03, +9.6080e-03, +3.5108e-03, +4.8305e-03, +9.0905e-01
 +5.0388e-03, +1.2135e-02, +4.1403e-03, +4.0822e-03, +9.1087e-01
 +4.8839e-03, +9.3783e-03, +3.4269e-03, +5.9113e-03, +9.5483e-01
 +4.8494e-03, +1.0489e-02, +3.9025e-03, +5.7035e-03, +9.5824e-01
 +4.7546e-03, +1.1982e-02, +3.7486e-03, +3.4587e-03, +9.8764e-01
 +4.7736e-03, +1.0565e-02, +4.0984e-03, +3.6250e-03, +1.0224e+00
 +5.9869e-03, +1.0813e-02, +3.7237e-03, +4.3768e-03, +1.1470e+00
 +4.9441e-03, +1.2020e-02, +3.6927e-03, +5.0384e-03, +1.2587e+00
 +4.7925e-03, +1.1522e-02, +4.3222e-03, +4.5395e-03, +1.6501e+00
 +6.1377e-03, +9.3783e-03, +3.4269e-03, +2.6273e-03, +2.2495e+00
 +5.0578e-03, +1.0718e-02, +4.0144e-03, +4.2070e-03, +2.3088e+00
 +6.1377e-03, +9.3783e-03, +3.4269e-03, +3.1813e-03, +2.5299e+00
 +5.0199e-03, +1.1484e-02, +3.6367e-03, +2.6273e-03, +6.1758e+00
 +4.7357e-03, +1.0833e-02, +3.4968e-03, +4.4148e-03, +7.5032e+00
 +4.9251e-03, +1.2326e-02, +4.3782e-03, +3.9991e-03, +9.0532e+00
 +4.6978e-03, +1.0603e-02, +3.7906e-03, +4.3732e-03, +9.3076e+00
 +4.7167e-03, +1.2096e-02, +3.9725e-03, +5.3709e-03, +9.7777e+00
 +4.6410e-03, +9.9525e-03, +3.6647e-03, +3.5834e-03, +1.0395e+01
 +5.0009e-03, +9.9908e-03, +3.5668e-03, +3.3340e-03, +1.0936e+01
 +4.6599e-03, +1.1407e-02, +3.7766e-03, +3.2508e-03, +1.4861e+01
 +4.6788e-03, +1.1637e-02, +4.1963e-03, +3.1677e-03, +2.0561e+01
 +5.0027e-03, +1.2088e-02, +3.5779e-03, +3.3539e-03, +2.2534e+01
